id 名字 等级 是否BOSS 怪物类型 地图 掉落
8150300 红飞龙 97 0 1 240040000,240040100,240040310,240040400,240040401 1002365,1040117,1040118,1041118,1050089,1050090,1052128,1060106,1061116,1072223,1082129,1452017,2000005,2000006,2040516,2040701,2043002,2043114,2044901,2044902,2290003,2290033,2290111,2290120,2386008,4000244,4000245,4000268,4001077,4001105,4004002,4006001,4010001,4020000,4031449,4031482,4031483,4031484,4031485,4130002,4130004,4130005,4130013,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
8150301 蓝飞龙 101 0 1 240040000,240040100,240040210,240040400,240040401 1002532,1050094,1051105,1072227,1082143,1082213,1372010,1422013,2000005,2000006,2022003,2040001,2040401,2040924,2040925,2044001,2290023,2290029,2290101,2290107,2330004,2386013,4000244,4000245,4000269,4001077,4001105,4004003,4006000,4010004,4020005,4031449,4031482,4031483,4031484,4031485,4130004,4130013,4130014,4130019,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
8150302 黑飞龙 103 0 1 240040200,240040300,240040400,240040401,240040500 1002531,1040115,1040117,1050093,1051095,1060104,1060107,1072214,1082127,1332027,1442020,1482012,2000005,2000006,2020013,2022003,2040302,2044301,2044402,2290010,2290019,2290026,2290076,2290113,2290119,2386015,4000244,4000245,4000270,4001077,4001105,4004000,4006000,4006001,4010005,4020002,4031415,4031449,4031482,4031483,4031484,4031485,4130009,4130014,4130017,4131004,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
8160000 时间门神 108 0 0 220060400 1002329,1002403,1032023,1040118,1041120,1050062,1050081,1050093,1051063,1051079,1051095,1052131,1060107,1061119,1072179,1072213,1082123,1092015,1092026,1442019,1452015,1462009,1472028,1472031,2000006,2022003,2040602,2040705,2040924,2290017,2290045,2290065,2290067,2290081,2387000,4000151,4004003,4006000,4010001,4020002,4031170,4031171,4031172,4031175,4031473,4031474,4031496,4130003,4130004,4130014,2022245,4031865,4031866 move,stand,attack1,attack2,skill1,hit1,die1
8170000 黑甲凶灵 108 0 6 220070400 1002281,1002404,1032017,1040113,1041107,1050072,1050083,1050095,1051069,1060102,1061106,1072177,1072178,1072211,1072213,1072227,1092017,1092026,1092027,1102031,1332018,1332019,1452012,1462013,2000005,2000006,2002001,2040512,2040702,2040802,2290012,2290086,2290087,2387001,4000152,4001112,4004004,4006001,4010004,4010005,4020008,4031170,4031171,4031172,4031175,4031448,4031453,4031458,4130001,4130003,4130008,2022245,4031865,4031866 move,stand,attack1,skill1,skill2,skill3,skill4,hit1,die1
8180000 火焰龙 105 1 0 240020401 1302056,1312030,1322045,1332051,1332052,1372010,1382035,1402035,1412021,1422027,1432030,1442044,1452019,1462015,1472053,1482012,1492012,2000004,2000005,2040328,2040805,2040824,2043001,2043101,2043112,2043201,2043301,2043701,2043801,2044001,2044014,2044101,2044201,2044301,2044401,2044501,2044601,2044701,2044801,2044901,2290002,2290003,2290014,2290015,2290030,2290035,2290036,2290063,2290080,2290098,2290101,2290117,2388018,4000235,4000244,4000245,4001076,4001104,4004000,4004001,4004002,4004003,4031343,4031511,4031514,4031517,4031860,4031865,4031866,4033001,2022245 move,stand,attack1,attack2,attack3,hit1,die1
8180001 天鹰 105 1 0 240020101 1302056,1312030,1322045,1332051,1332052,1372010,1382035,1402035,1412021,1422027,1432030,1442044,1452019,1462015,1472053,1482012,1492012,2000004,2000005,2040002,2040005,2040302,2040402,2040501,2040502,2040505,2040513,2040516,2040532,2040602,2040618,2040702,2040705,2040708,2040802,2040902,2040925,2043114,2043214,2044112,2290018,2290019,2290032,2290042,2290058,2290059,2290068,2290069,2290072,2290092,2290099,2290100,2290102,2290119,2388019,4000243,4000244,4000245,4004000,4004001,4004002,4004003,4031344,4031457,4031464,4031479,4031511,4031512,4031515,4031518,4031861,4031865,4031866,4033001,2022245 move,stand,attack1,attack2,attack3,hit1,die1
8190000 小蜥蜴 105 0 1 240040520,240040521,240040900 1002398,1002646,1040111,1051092,1060102,1072228,1072315,1082158,1332052,1402016,2000005,2000006,2020013,2022003,2040004,2040419,2040421,2044110,2044702,2290030,2290044,2290054,2290066,2290075,2290092,2290103,2386017,4000244,4000245,4000272,4004001,4006000,4006001,4007000,4007005,4010000,4020004,4130004,4130006,4130008,4130011,2022245,4031865,4031866 stand,attack1,attack2,hit1,die1
8190002 泥人妖 110 0 8 240040520,240040521,240040600 1002406,1032023,1050097,1051101,1072225,1082139,1082152,1082213,1412021,1452019,1492012,2000005,2000006,2022003,2040707,2041022,2041023,2043801,2044901,2044902,2290000,2290008,2290018,2290038,2290060,2290080,2290124,2387004,4000244,4000245,4000271,4004003,4006000,4006001,4007001,4010005,4020007,4130013,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
8190003 骷髅龙 110 0 7 240040510,240040511,240040800 1002377,1032017,1050103,1050107,1072221,1072318,1082135,1082140,1302056,1332051,1422027,1482011,2000005,2000006,2022003,2040534,2040627,2040805,2043301,2044602,2044902,2290007,2290012,2290014,2290033,2290045,2290050,2290055,2290062,2290063,2290070,2290086,2290108,2387002,4000244,4000245,4000274,4004001,4006000,4006001,4007000,4007002,4007003,4007004,4007007,4010001,4020001,4130001,4130014,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
8190004 老骷髅龙 113 0 7 240040510,240040511,240040600,240040800 1002380,1040121,1051102,1052076,1060109,1072215,1082135,1082151,1082213,1092042,1302056,1322045,1482012,2000005,2000006,2022003,2040326,2040530,2040924,2041004,2041013,2044201,2044214,2044801,2290002,2290009,2290021,2290034,2290052,2290053,2290058,2290068,2290071,2290073,2290090,2290112,2290121,2387003,4000244,4000245,4000273,4004004,4006000,4006001,4020002,4020006,4130010,4130019,4130022,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
8200000 时间之眼 80 0 0 270010100,270010200,270010300,270010400,270010500,270020100,270020200,270020300,270020400,270020500,270030100,270030200,270030300,270030400 1002640,1040110,1041107,1072179,1082112,1102028,1402015,1452011,2040532,2044112,2044807,2290005,2290011,2290114,2330004,2385025,4000443,4004002,4007001,4010000,4020000,4020009,4130000,4130013,2022245,4031865,4031866 move,stand,attack1,attack2,hit1,die1
8200001 追忆的祭司 91 0 0 270010100 1002532,1050095,1051097,1052128,1072205,1082144,1312015,1382035,1402005,2000006,2022003,2040029,2040321,2043301,2290050,2290059,2290065,2386021,4000444,4000446,4004003,4007004,4007006,4010001,4020001,4020009,4130001,4130014,2022245,4031865,4031866 stand,move,attack1,hit1,die1
8200002 追忆的神官 94 0 0 270010200 1002366,1040113,1051085,1060102,1072195,1082210,1092027,1402016,1442044,1452017,2000006,2022003,2040707,2044212,2044401,2290062,2290066,2290070,2330004,2386022,4000445,4000446,4004000,4010002,4020002,4020009,4130002,4130015,2022245,4031865,4031866 stand,move,attack1,attack2,hit1,die1
8200003 追忆的守护兵 98 0 0 270010300,270010400 1002405,1040118,1041118,1050095,1060107,1061117,1072315,1082130,1332027,1412010,1482012,2000006,2022003,2040927,2040928,2044412,2044702,2290012,2290056,2290071,2290101,2330004,2386023,4000447,4000459,4004001,4007001,4007005,4010006,4020006,4020009,4130003,4130016,2022245,4031865,4031866 stand,move,attack1,attack2,hit1,die1
8200004 追忆的守护队长 101 0 0 270010400,270010500 1002326,1041121,1050091,1061120,1072198,1082132,1092036,1302056,1422013,1482011,2000006,2020015,2022003,2040025,2040026,2044312,2044901,2044902,2290069,2290072,2290073,2386024,4000448,4000459,4004001,4010001,4020008,4020009,4130004,4130017,2022245,4031865,4031866 stand,move,attack1,attack2,hit1,die1
8200005 后悔的祭司 106 0 0 270020100 1002643,1040118,1051103,1060107,1072207,1082127,1302023,1322029,2000006,2020013,2022003,2040931,2044012,2290078,2290079,2290095,2387006,4000449,4000451,4004000,4010004,4020001,4020009,4130005,2022245,4031865,4031866 stand,move,attack1,hit1,die1
8200006 后悔的神官 109 0 0 270020200 1002378,1032023,1051107,1052131,1072227,1082135,1382035,1412021,1462017,2000005,2000006,2022003,2040317,2040318,2040824,2040825,2290003,2290064,2290076,2290077,2387007,4000450,4000451,4004003,4010003,4020003,4020009,4130006,2022245,4031865,4031866 stand,move,attack1,attack2,attack3,hit1,die1
8200007 后悔的守护兵 113 0 0 270020300,270020400 1002400,1040121,1041124,1051091,1072214,1082213,1332052,1422027,1462018,2000006,2022003,2040302,2040701,2044301,2290006,2290007,2290011,2290016,2387008,4000452,4000459,4004002,4010004,4020004,4020009,4130007,4130020,2022245,4031865,4031866 stand,move,attack1,attack2,hit1,die1
8200008 后悔的守护队长 116 0 0 270020400,270020500 1002407,1050104,1060111,1061123,1072318,1082140,1442020,1472033,1472053,2000006,2022003,2044101,2044501,2290006,2290051,2290121,2290122,2330004,2387009,4000453,4000459,4004000,4010005,4020005,4020009,4130008,2022245,4031865,4031866 stand,move,attack1,attack2,attack3,hit1,die1
8200009 忘却的祭司 121 0 0 270030100 1002381,1050108,1072221,1082153,1402035,1432011,1492011,2000006,2022003,2040924,2040925,2044001,2044601,2290013,2290016,2290031,2290039,2387010,4000454,4000456,4004001,4007004,4010000,4020007,4020009,4130000,4130009,2022245,4031865,4031866 stand,move,attack1,hit1,die1
8200010 忘却的神官 124 0 0 270030200 1002646,1050099,1072225,1082158,1312030,1432030,2000005,2000006,2022003,2041022,2043801,2290026,2290059,2290088,2290089,2387011,4000455,4000456,4004003,4010002,4020000,4020009,4130001,4130010,2022245,4031865,4031866 stand,move,attack1,attack2,attack3,hit1,die1
8200011 忘却的守护兵 128 0 0 270030300,270030400 1002379,1052131,1072229,1082138,1322045,1372010,2000005,2000006,2022003,2041008,2044201,2044602,2290001,2290040,2290046,2290114,2387012,4000457,4000459,4004002,4007004,4010003,4020002,4020009,4130002,4130011,2022245,4031865,4031866 stand,move,attack1,attack2,hit1,die1
8200012 忘却的守护队长 131 0 0 270030400,270030500 1002401,1040122,1060111,1072216,1082213,1322045,1452021,2000005,2000006,2022003,2040501,2043701,2290092,2290093,2290115,2387013,4000458,4000459,4004002,4007001,4007007,4010000,4020000,4020009,4130003,4130012,2022245,4031865,4031866 stand,move,attack1,attack2,attack3,hit1,die1
8220000 艾利杰 83 1 0 200010300 1002326,1002366,1002405,1002532,1002643,1040113,1040117,1041117,1041121,1050091,1050095,1051085,1051097,1052128,1072194,1072198,1072205,1072209,1072315,1082127,1082130,1082134,1082144,1082210,2000004,2000006,2002003,2012001,2040001,2040002,2040301,2040302,2040401,2040707,2041007,2041019,2041020,2043017,2043301,2043701,2044114,2044214,2044301,2044302,2044401,2044402,2060001,2061001,2388015,4000021,4000073,4000074,4004004,4006000,4010006,4020008,2022245,4031865,4031866 move,stand,jump,attack1,skill1,skill2,hit1,die1
8220001 驮狼雪人 90 1 0 211040101 1032017,1092028,1302023,1312015,1322029,1332027,1382035,1402016,1412010,1422013,1432011,1442020,1452017,1462018,1472033,1482011,1492011,2000004,2000006,2022001,2022186,2040026,2040323,2040501,2040513,2040601,2040701,2040801,2040804,2040901,2040927,2041001,2041008,2041016,2041017,2043302,2043701,2043702,2043801,2043802,2044314,2044802,2060001,2061001,2070008,2388016,4000021,4000048,4000049,4000051,4004002,4010004,4020004,2022245,4031865,4031866 move,stand,attack1,skill1,skill2,hit1,die1
8220002 吉米拉 85 1 8 261030000 1302023,1312015,1322029,1332026,1332027,1372009,1382008,1402005,1402016,1412010,1422013,1432011,1442020,1452017,1462018,1472033,1482011,1492011,2000004,2000006,2040301,2040326,2040422,2040501,2040504,2040513,2040516,2040532,2040931,2041007,2041013,2041016,2041019,2041022,2070007,2290020,2290081,2330003,2388032,4000356,4000364,4000365,4004004,4010005,4020008,2022245,4031865,4031866 move,stand,attack1,skill1,hit1,die1
8220003 大海兽  120 1 0 240040401 1302056,1312030,1322045,1332051,1332052,1372010,1382035,1402035,1412021,1422027,1432030,1442044,1452019,1462015,1472053,1482012,1492012,2000005,2000006,2020013,2040824,2040825,2044212,2290006,2290030,2290031,2290032,2290033,2290060,2290061,2290076,2290077,2290104,2290105,2290117,2290118,2388033,4000268,4000269,4000270,4006000,4006001,4031865,4031866,4033001,2022245 move,stand,attack1,attack2,skill1,hit1,die1
8220004 多多 121 1 0 270010500 1002405,1050105,1051093,1072318,1082141,1322045,1332052,1372010,2000005,2000006,2020013,2040025,2040026,2040029,2040324,2040326,2040532,2040924,2040925,2290018,2290019,2290024,2290025,2290058,2290059,2290076,2290077,2290106,2330004,2388040,4000460,4006000,4006001,4020009,4031865,4031866,4033001,2022245 move,stand,attack1,attack2,skill1,skill2,hit1,die1
8220005 玄冰独角兽 131 1 0 270020500 1002382,1050108,1051104,1072222,1082154,1402035,1452021,1482012,2000005,2000006,2020013,2040317,2040318,2040321,2040927,2040928,2040931,2290002,2290003,2290036,2290037,2290055,2290080,2290099,2388041,4000461,4006000,4006001,4020009,4031865,4031866,4033001,2022245 move,stand,attack1,attack2,skill1,skill2,hit1,die1
8220006 雷卡 141 1 0 270030500 1002646,1050099,1051107,1072226,1082160,1432030,1462017,1472053,1492012,2000005,2000006,2020013,2043701,2044301,2044501,2044701,2044801,2044901,2044902,2290012,2290013,2290042,2290043,2290060,2290061,2290090,2290119,2290120,2388042,4000462,4006000,4006001,4020009,4031865,4031866,4033001,2022245 stand,move,attack1,attack2,skill1,skill2,hit1,die1
8220007 蓝蘑菇  90 1 0 222010402 1302012,1312010,1322019,1332018,1332019,1382007,1412008,1432007,2000004,2000005,2043001,2043101,2043301,2043701,2044001,2044201,2044301,2044501,2044601,2044701,2290035,2290091,2290108,2388053,4031865,4031866,4033001,2022245 move,stand,jump,attack1,hit1,die1
8220009 小吃店 85 1 0 105090310 1092017,1302012,1312010,1322019,1332018,1332019,1382007,1402012,1412008,1422010,1432007,1442008,1452009,1462009,1472026,2000004,2000005,2043001,2043101,2043201,2043301,2043701,2043801,2044001,2044101,2044201,2044301,2044401,2044501,2044601,2044701,2290031,2388054,4031865,4031866,4033001,2022245 move,stand,attack1,attack2,attack3,hit1,die1
8500002 帕普拉图斯 125 1 0 220080001 1002377,1002405,1002646,1040112,1040117,1040118,1040120,1041120,1041122,1050090,1050094,1050095,1050098,1050102,1050106,1051085,1051092,1051101,1051105,1052131,1060101,1060106,1060107,1060109,1061119,1061121,1072173,1072178,1072183,1072198,1072211,1072213,1072220,1072221,1072224,1072227,1072318,1082127,1082158,1082213,1312015,1332026,1332027,1372009,1462018,1482011,2000004,2000005,2000006,2020013,2020015,2040318,2040321,2040419,2040421,2041013,2041016,2041019,2041022,2044809,2290006,2290010,2290011,2290013,2290028,2290037,2290043,2290051,2290056,2290061,2290066,2290071,2290078,2290089,2290091,2290104,2290107,2290121,2290123,2388022,4001084,4031196,4031865,4031866,4031869,4031901,4033001,2022245 fly,stand,hit1,die1
8510000 皮亚奴斯 110 1 0 230040420 1040121,1041123,1050097,1050103,1050107,1051091,1051102,1051106,1052131,1060110,1061122,1302023,1322029,1402005,1412010,1492011,2000004,2000005,2000006,2020013,2020015,2040401,2040501,2040504,2040513,2040516,2040622,2290000,2290001,2290004,2290005,2290024,2290025,2290026,2290027,2290052,2290053,2290054,2290055,2290076,2290077,2290082,2290083,2290097,2290099,2290106,2290108,2290112,2290114,2290122,2290124,2388020,4000175,4001085,4031253,4031865,4031866,4031905,4033001,2022245 stand,skill1,skill2,skill3,skill4,attack1,attack2,attack3,hit1,die1
8800002 扎昆 140 1 0 280030000 1002357,1302023,1302056,1312015,1312030,1322029,1322045,1332022,1332026,1332027,1332051,1332052,1372009,1372010,1372049,1382008,1382035,1402035,1412010,1412021,1422013,1422027,1432011,1432030,1442002,1442020,1442044,1452017,1452019,1452020,1462015,1462016,1462018,1472031,1472033,1472053,1482012,1492012,2000004,2000005,2000006,2020013,2020015,2040026,2040031,2040321,2040328,2040512,2280007,2280008,2280009,2280010,2290006,2290007,2290016,2290020,2290022,2290024,2290028,2290029,2290040,2290046,2290048,2290056,2290057,2290058,2290064,2290067,2290074,2290079,2290084,2290094,2290110,2290115,2388023,4001083,4006000,4006001,4031865,4031866,4033001,2022245 stand,skill1,skill2,skill3,attack1,attack2,attack3,hit1,die1
8810018 暗黑龙王的灵魂 160 1 0 240060200 1122000,1302056,1302059,1312030,1312031,1322045,1322052,1332049,1332050,1332051,1332052,1372010,1372032,1382035,1382036,1402035,1402036,1412021,1412026,1422027,1422028,1432030,1432038,1442044,1442045,1452019,1452020,1452021,1452044,1462015,1462016,1462017,1462039,1472051,1472052,1472053,1482012,1482013,1492012,1492013,2000004,2000005,2000006,2020013,2020015,2040317,2040418,2040421,2040512,2040515,2040625,2290017,2290021,2290023,2290041,2290047,2290049,2290065,2290075,2290085,2290095,2290096,2290111,2290116,2290125,2388024,4001094,4031865,4031866,4033001,2022245 stand,hit1,die1
8820000 时间的宠儿－品克缤 180 1 0 270050100 1002776,1002777,1002778,1002779,1002780,1002790,1002791,1002792,1002793,1002794,1032031,1052155,1052156,1052157,1052158,1052159,1052160,1052161,1052162,1052163,1052164,1072355,1072356,1072357,1072358,1072359,1072361,1072362,1072363,1072364,1072365,1082234,1082235,1082236,1082237,1082238,1082239,1082240,1082241,1082242,1082243,1092057,1092058,1092059,1102172,1122011,1122012,1302081,1302086,1312037,1312038,1322060,1322061,1332073,1332074,1332075,1332076,1372044,1372045,1382057,1382059,1402046,1402047,1412033,1412034,1422037,1422038,1432047,1432049,1442063,1442067,1452057,1452059,1462050,1462051,1472068,1472071,1482023,1482024,1492023,1492025,2000004,2000005,2020015,2290010,2290022,2290040,2290046,2290048,2290052,2290084,2290090,2290106,2290119,4021010,4031865,4031866,4033001,2022245 stand,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,hit1,die1
8830000 蝙蝠怪 105 1 1 105100300 1072376,1302112,1302113,1312042,1312043,1322068,1322069,1332084,1332085,1332086,1332087,1372050,1382066,1382067,1382068,1402056,1402057,1402058,1402059,1402062,1412038,1412039,1422042,1422043,1432054,1432055,1442074,1442075,1442078,1452066,1452067,1452068,1452069,1452070,1452071,1462059,1462060,1462061,1462062,1462063,1472083,1472084,1472086,1482031,1482032,1492035,1492036,1492037,2000002,2000004,2000005,2000006,2001000,2001002,2020000,2020001,2020003,2020005,2020006,2020007,2020009,2020010,2020012,2020013,2020014,2020015,2022000,2050004,2330005,2388055,4001261,2022245,4031865,4031866 stand,attack1,attack2,attack3,attack4,skill16,skill1,hit1,die1
9300003 绿水灵王 40 1 0 103000804 1072369,2388001,4001008,2022245,4031865,4031866 move,stand,jump,attack1,skill1,hit1,die1
9300012 阿丽莎乐 56 1 0 922010900 2388004,4001023,2022245,4031865,4031866 move,skill1,stand,attack1,jump,hit1,die1
9300028 艾里葛斯 115 1 0 990000900 2290026,2290064,2290075,2290093,2290111,2388021,4001024,2022245,4031865,4031866 stand,skill1,skill2,skill3,attack1,attack2,attack3,hit1,die1
9300039 远古精灵 65 1 0 920010800 2388012,4001054,2022245,4031865,4031866 move,stand,attack1,skill1,skill2,skill3,hit1,die1
9300119 老海盗 60 1 0 925100500 2000002,2000004,2000006,2020013,2020014,2020015,2040001,2040002,2040401,2040502,2040505,2040601,2040801,2041010,2043101,2043201,2044101,2044201,2388011,4001118,4031437,4031438,4031551,2022245,4031865,4031866 move,stand,attack1,skill1,skill2,skill3,hit1,die1
9300139 法兰肯 81 1 0 926100401 2000002,2000004,2000006,2020013,2020014,2020015,2040004,2040504,2040707,2043001,2043301,2043701,2043801,2044001,2044401,2044501,2044601,2044701,2388014,2022245,4031865,4031866 move,stand,attack1,attack2,skill1,hit1,die1
9300182 超强化石头人 85 1 0 930000600 2000002,2000006,2020013,2020014,2020015,2043001,2043101,2043201,2043301,2043701,2043801,2044001,2044101,2044201,2044301,2044401,2044501,2044601,2044701,2388039,4001164,2022245,4031865,4031866 move,stand,attack1,attack2,attack3,skill1,skill2,skill3,skill4,hit1,die1
9300215 武公 150 1 0 925023800 2022413,2022414,2022415,2022416,2022417,2022418,2022419,2022420,2022421,2388046,2022245,4031865,4031866 move,stand,attack1,attack2,attack3,skill1,skill2,skill3,hit1,die1
9300274 玩世不恭的花蘑菇 8 0 0 100010000,100010100 1002043,1052095,1072004,1072015,1072031,1082012,1312000,1432000,2000000,2040705,2060000,2061000,2330000,2380013,4000001,4010000,4020007,4030001,4032190,4032314,4032315,2022245,4031865,4031866 move,stand,jump,hit1,die1
9500317 小雪人 10 1 0 999999998 1092022,1092030,1092045,1092046,1092047,1112407,1112408,2020001,2020002,2020003,2020004,2020005,2020006,2020007,2020008,2020009,2020010,2020011,2020012,2020013,2020014,2020015,2020016,2020017,2020018,2020019,2020020,2022279,2388028,4001141,4003000,4003001,4003002,4003003,4004000,4004001,4004002,4004003,4004004,4010000,4010001,4010002,4010003,4010004,4010005,4010006,4010007,4020000,4020001,4020002,4020003,4020004,4020005,4020006,4020007,4020008,2022245,4031865,4031866 move,stand,hit1,die1,jump
9500320 迷路的圣诞鹿 10 0 0 999999998 2388027,2022245,4031865,4031866 move,stand,jump,hit1,die1
